ISO Week,src,src_humans
2017-23,1623,1623
2017-24,1814,1811
2017-25,1830,1826
2017-26,1676,1675
2017-27,1237,1237
2017-28,1847,1847
2017-29,1878,1877
2017-30,1793,1792
2017-31,1565,1565
2017-32,1746,1746
2017-33,1852,1851
2017-34,1829,1829
2017-35,1738,1738
2017-36,1398,1398
2017-37,1710,1710
2017-38,1437,1435
2017-39,1562,1561
2017-40,1784,1784
2017-41,1652,1652
2017-42,1750,1746
2017-43,1714,1712
2017-44,1647,1647
2017-45,1804,1803
2017-46,1866,1866
2017-47,1461,1459
2017-48,2040,2038
2017-49,1797,1796
2017-50,1636,1635
2017-51,1614,1612
2017-52,297,297
2018-01,1113,1111
2018-02,1486,1485
2018-03,1608,1606
2018-04,1509,1507
2018-05,2014,1883
2018-06,1706,1574
2018-07,1558,1462
2018-08,1492,1376
2018-09,1723,1655
2018-10,1647,1536
2018-11,1559,1416
2018-12,1765,1640
2018-13,1690,1586
2018-14,1700,1605
2018-15,1825,1748
2018-16,1698,1571
2018-17,2068,1924
2018-18,1683,1536
2018-19,1813,1655
2018-20,2053,1899
2018-21,1951,1823
2018-22,1826,1693
2018-23,1939,1800
2018-24,2025,1898
2018-25,2036,1866
2018-26,1870,1675
2018-27,1394,1214
2018-28,2000,1812
2018-29,1922,1761
2018-30,1861,1645
2018-31,1834,1633
2018-32,1704,1567
2018-33,1882,1728
2018-34,1849,1711
2018-35,2140,1977
2018-36,1523,1341
2018-37,1795,1570
2018-38,1859,1625
2018-39,1912,1638
2018-40,2122,1801
2018-41,2085,1799
2018-42,1935,1671
2018-43,1954,1624
2018-44,1828,1509
2018-45,1918,1630
2018-46,2038,1677
2018-47,1597,1372
2018-48,2250,2016
2018-49,2047,1633
2018-50,2017,1676
2018-51,1789,1431
2018-52,488,296
2019-01,954,677
2019-02,2141,1767
2019-03,2140,1880
2019-04,1921,1664
2019-05,2218,1833
2019-06,2032,1715
2019-07,2326,1934
2019-08,2008,1664
2019-09,2188,1829
2019-10,2170,1876
2019-11,2138,1823
2019-12,2242,1919
2019-13,2422,1950
2019-14,2392,1984
2019-15,2116,1685
2019-16,2130,1750
2019-17,1974,1598
2019-18,1935,1569
2019-19,2233,1816
2019-20,2295,1879
2019-21,2211,1834
2019-22,1989,1637
2019-23,2068,1771
2019-24,2046,1661
2019-25,2017,1674
2019-26,2055,1716
2019-27,1520,1184
2019-28,2094,1805
2019-29,2201,1820
2019-30,2240,1921
2019-31,2212,1822
2019-32,2013,1679
2019-33,2080,1762
2019-34,2264,1894
2019-35,2141,1774
2019-36,2238,1914
2019-37,2067,1707
2019-38,2106,1756
2019-39,2211,1858
2019-40,2184,1820
2019-41,2247,1875
2019-42,2252,1901
2019-43,2084,1718
2019-44,2258,1924
2019-45,2089,1743
2019-46,1924,1602
2019-47,2446,2072
2019-48,1868,1490
2019-49,2441,2078
2019-50,2183,1827
2019-51,2121,1748
2019-52,607,434
2020-01,707,504
2020-02,2035,1670
2020-03,2750,2442
2020-04,2098,1754
2020-05,2344,1967
2020-06,2122,1739
